King Philip VI|http://en.wikipedia.org/wiki/Philip_VI_of_France
01/04/1338|Paris|48.8567, 2.3508
24/08/1338|Amiens|49.892, 2.299
30/09/1338|Paris|48.8567, 2.3508
01/10/1339|Peronne|49.9293, 2.935
22/10/1339|Buironfosse|49.9661, 3.8353
23/10/1339|Saint Quentin|49.8486, 3.2864
25/10/1339|Paris|48.8567, 2.3508
15/06/1340|Thun-l'eveque|50.2272, 3.2889
29/07/1340|Aire-sur-la-Lys|50.6394, 2.3975
04/08/1340|Paris|48.8567, 2.3508
01/05/1345|Loire Valley|47.398889, 0.702778
01/08/1345|Paris|48.8567, 2.3508
29/07/1346|Vernon|49.0925, 1.4858
31/07/1346|Rouen|49.4412, 1.0963
12/08/1346|Poissy|48.9294, 2.0456
20/08/1346|Amiens|49.892, 2.299
23/08/1346|Abbeville|50.1058, 1.8358
26/08/1346|Battle of Crecy|50.257, 1.904
27/08/1346|Amiens|49.892, 2.299
08/09/1346|Pont Saint Maxence|49.3019, 2.6044
01/01/1347|Vincennes|48.8478, 2.4392
18/03/1347|Saint Denis|48.9364, 2.3547
18/05/1347|Amiens|49.892, 2.299
21/05/1347|Arras|50.2897, 2.7808
23/06/1347|Hesdin|50.375, 2.0375
15/08/1347|Pont Saint Maxence|49.3019, 2.6044
01/09/1347|Amiens|49.892, 2.299
10/09/1347|Paris|48.8567, 2.3508
22/08/1350
King John II|http://en.wikipedia.org/wiki/John_II_of_France
23/08/1350|Paris|48.8567, 2.3508
15/08/1351|Saint Jean d'Angely|45.9466, -0.5294
15/09/1351|Paris|48.8567, 2.3508
05/11/1355|Amiens|49.892, 2.299
12/11/1355|St Omer|50.7461, 2.2617
01/01/1356|Paris|48.8567, 2.3508
13/09/1356|Orleans|47.9025, 1.909
19/09/1356|Battle of Poitiers|46.5094, 0.415
01/10/1356|Calais|50.948056, 1.856389
01/05/1357|London|51.507222, -0.1275
01/07/1360|Calais|50.948056, 1.856389
24/10/1360|Paris|48.8567, 2.3508
01/01/1364|London|51.507222, -0.1275
08/04/1364